section	headword	months_on_list	german_missing	webpage	n_uc_s	n_lc_s	n_uc_r	n_lc_r	n_total_est	div_zero
== Substantive ==	Arealkunde	36		https://de.wiktionary.org/wiki/Arealkunde	1	0	0	0	1	Y
== Substantive ==	Arealmethode	36		https://de.wiktionary.org/wiki/Arealmethode	0	0	0	0	0	
== Substantive ==	Areflexie	36		https://de.wiktionary.org/wiki/Areflexie	0	0	4	0	4	
== Substantive ==	Argentum	36		https://de.wiktionary.org/wiki/Argentum	0	0	2	0	2	
== Substantive ==	Arschfotze	4		https://de.wiktionary.org/wiki/Arschfotze	0	0	0	0	0	
== Substantive ==	Arschwasser	4		https://de.wiktionary.org/wiki/Arschwasser	0	0	0	0	0	
== Substantive ==	Arsis	17		https://de.wiktionary.org/wiki/Arsis	1	0	2	1	3	
== Substantive ==	Aschenputtelhaltung	36		https://de.wiktionary.org/wiki/Aschenputtelhaltung	0	0	0	0	0	
== Substantive ==	Aseri	36		https://de.wiktionary.org/wiki/Aseri	1	0	7	0	8	
== Substantive ==	Aspartat	36		https://de.wiktionary.org/wiki/Aspartat	1	0	17	0	18	
== Substantive ==	Aspermatismus	4		https://de.wiktionary.org/wiki/Aspermatismus	0	0	0	0	0	
== Substantive ==	Aspermie	4		https://de.wiktionary.org/wiki/Aspermie	0	0	1	0	1	
== Substantive ==	Aspersion	36		https://de.wiktionary.org/wiki/Aspersion	0	0	0	0	0	
== Substantive ==	Aspersorium	36		https://de.wiktionary.org/wiki/Aspersorium	0	0	0	1	0	
== Substantive ==	Asphodelus	36		https://de.wiktionary.org/wiki/Asphodelus	0	0	7	0	7	
== Substantive ==	Asphodill	36		https://de.wiktionary.org/wiki/Asphodill	0	0	0	0	0	
== Substantive ==	Aspirantur	36		https://de.wiktionary.org/wiki/Aspirantur	1	0	91	0	92	
== Substantive ==	Aspirator	36		https://de.wiktionary.org/wiki/Aspirator	0	0	0	0	0	
== Substantive ==	Assagai	36		https://de.wiktionary.org/wiki/Assagai	0	0	0	0	0	
== Substantive ==	Assaut	36		https://de.wiktionary.org/wiki/Assaut	0	0	7	3	7	
== Substantive ==	Assekurant	36		https://de.wiktionary.org/wiki/Assekurant	0	0	0	0	0	
== Substantive ==	Assekuranznummer	13		https://de.wiktionary.org/wiki/Assekuranznummer	0	0	6	0	6	
== Substantive ==	Assekuranzprinzip	36		https://de.wiktionary.org/wiki/Assekuranzprinzip	0	0	0	0	0	
